2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Launcher log: /nfs_tmp/Compression_team/src/WaterSIC/outputs/logs/launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale_20260317_155306.log
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Preparing to wait for a truly idle GPU before launching llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU auto-selection policy: prefer zero compute processes, then lowest used memory / highest free memory, then utilization.
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=1 gpu=3 name=NVIDIA RTX A6000 processes=2 process_mem=6282MiB used=6293MiB free=42378MiB util=100% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=2 gpu=5 name=NVIDIA RTX A6000 processes=2 process_mem=7302MiB used=7313MiB free=41358MiB util=96% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=3 gpu=6 name=NVIDIA RTX A6000 processes=2 process_mem=18374MiB used=18385MiB free=30286MiB util=32% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=4 gpu=7 name=NVIDIA RTX A6000 processes=2 process_mem=26336MiB used=26347MiB free=22324MiB util=100% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=5 gpu=4 name=NVIDIA RTX A6000 processes=2 process_mem=27228MiB used=27239MiB free=21432MiB util=100% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=6 gpu=2 name=NVIDIA RTX A6000 processes=2 process_mem=31326MiB used=31337MiB free=17334MiB util=100% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=7 gpu=1 name=NVIDIA RTX A6000 processes=2 process_mem=38308MiB used=38319MiB free=10352MiB util=60% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
2026-03-17 15:53:06 | INFO | launcher_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | GPU candidate rank=8 gpu=0 name=NVIDIA RTX A6000 processes=4 process_mem=39076MiB used=39188MiB free=9483MiB util=43% idle_class=busy_or_threshold_failed thresholds(max_used=2048MiB,min_free=24576MiB)
