2026-03-13 12:09:15 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 12:09:15 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='1', reason='idle_gpu_selected', gpu_index=1, gpu_name='NVIDIA RTX A6000')
2026-03-13 12:09:37 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Running BF16/FP baseline evaluation
2026-03-13 12:09:39 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Loading reference model for original-vs-quantized statistics
2026-03-13 12:09:42 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collecting statistics for layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 12:09:44 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 0 for layer model.layers.0
2026-03-13 12:09:46 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 1 for layer model.layers.0
2026-03-13 12:09:48 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 2 for layer model.layers.0
2026-03-13 12:09:50 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 3 for layer model.layers.0
2026-03-13 12:09:52 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 4 for layer model.layers.0
2026-03-13 12:09:54 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 5 for layer model.layers.0
2026-03-13 12:10:09 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.self_attn.q_proj with target 3.0000 and achieved 2.8762 (relMSE=2.300590e-01, ref_delta=0.000000e+00)
2026-03-13 12:10:17 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.self_attn.k_proj with target 3.0077 and achieved 2.6968 (relMSE=3.019076e-01, ref_delta=0.000000e+00)
2026-03-13 12:10:24 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.self_attn.v_proj with target 3.0127 and achieved 2.6360 (relMSE=3.001497e-01, ref_delta=0.000000e+00)
2026-03-13 12:10:24 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collecting statistics for layer 0 stage ['o_proj']
2026-03-13 12:10:25 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 0 for layer model.layers.0
2026-03-13 12:10:26 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 1 for layer model.layers.0
2026-03-13 12:10:26 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 2 for layer model.layers.0
2026-03-13 12:10:27 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 3 for layer model.layers.0
2026-03-13 12:10:27 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 4 for layer model.layers.0
2026-03-13 12:10:28 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 5 for layer model.layers.0
2026-03-13 12:10:46 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.self_attn.o_proj with target 3.0187 and achieved 2.8806 (relMSE=4.575867e-01, ref_delta=1.174371e-02)
2026-03-13 12:10:46 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collecting statistics for layer 0 stage ['gate_proj', 'up_proj']
2026-03-13 12:10:46 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 0 for layer model.layers.0
2026-03-13 12:10:47 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 1 for layer model.layers.0
2026-03-13 12:10:47 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 2 for layer model.layers.0
2026-03-13 12:10:48 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 3 for layer model.layers.0
2026-03-13 12:10:48 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 4 for layer model.layers.0
2026-03-13 12:10:49 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 5 for layer model.layers.0
2026-03-13 12:13:12 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.mlp.gate_proj with target 3.0283 and achieved 2.9346 (relMSE=6.975629e-02, ref_delta=6.803128e-02)
2026-03-13 12:15:34 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Quantized model.layers.0.mlp.up_proj with target 3.0639 and achieved 2.9772 (relMSE=6.519080e-02, ref_delta=6.803128e-02)
2026-03-13 12:15:34 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collecting statistics for layer 0 stage ['down_proj']
2026-03-13 12:15:36 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 0 for layer model.layers.0
2026-03-13 12:15:37 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 1 for layer model.layers.0
2026-03-13 12:15:39 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 2 for layer model.layers.0
2026-03-13 12:15:41 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 3 for layer model.layers.0
2026-03-13 12:15:43 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix | Collected calibration batch 4 for layer model.layers.0
