2026-03-13 13:39:23 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 13:39:23 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='1', reason='idle_gpu_selected', gpu_index=1, gpu_name='NVIDIA RTX A6000')
2026-03-13 13:39:50 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Residual debug prefix collect layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 13:39:53 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 0 for layer model.layers.0
2026-03-13 13:39:54 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 1 for layer model.layers.0
2026-03-13 13:39:56 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 2 for layer model.layers.0
2026-03-13 13:39:58 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 3 for layer model.layers.0
2026-03-13 13:40:00 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 4 for layer model.layers.0
2026-03-13 13:40:02 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 5 for layer model.layers.0
2026-03-13 13:40:19 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Residual debug prefix quantized model.layers.0.self_attn.q_proj at 3.0000 bits (achieved 2.8762)
2026-03-13 13:40:27 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Residual debug prefix quantized model.layers.0.self_attn.k_proj at 3.0077 bits (achieved 2.6968)
2026-03-13 13:40:36 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Residual debug prefix quantized model.layers.0.self_attn.v_proj at 3.0127 bits (achieved 2.6360)
2026-03-13 13:40:36 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Residual debug prefix collect layer 0 stage ['o_proj']
2026-03-13 13:40:36 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 0 for layer model.layers.0
2026-03-13 13:40:37 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 1 for layer model.layers.0
2026-03-13 13:40:37 | INFO | debug_llama32_1b_layer1_o_proj_residual_debug | Collected calibration batch 2 for layer model.layers.0
