2026-03-17 16:20:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-17 16:20:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Device selection: DeviceSelection(torch_device='cuda', cuda_visible_devices='6', reason='cuda_visible_devices_respected', gpu_index=6, gpu_name=None, warning=None, ranking=(), logical_device_index=0)
2026-03-17 16:20:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Torch logical device cuda:0 maps via CUDA_VISIBLE_DEVICES=6 to physical GPU 6
2026-03-17 16:20:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | CUDA RNG seeded after device selection with seed=0
2026-03-17 16:20:46 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Running BF16/FP baseline evaluation
2026-03-17 16:21:13 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Loading reference model for original-vs-quantized statistics
2026-03-17 16:21:16 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collecting statistics for layer 0 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-17 16:21:20 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 0 for layer model.layers.0
2026-03-17 16:21:24 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 1 for layer model.layers.0
2026-03-17 16:21:29 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 2 for layer model.layers.0
2026-03-17 16:21:33 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 3 for layer model.layers.0
2026-03-17 16:21:38 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 4 for layer model.layers.0
2026-03-17 16:21:42 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 5 for layer model.layers.0
2026-03-17 16:21:46 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 6 for layer model.layers.0
2026-03-17 16:21:50 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 7 for layer model.layers.0
2026-03-17 16:21:53 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 8 for layer model.layers.0
2026-03-17 16:21:57 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 9 for layer model.layers.0
2026-03-17 16:22:01 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 10 for layer model.layers.0
2026-03-17 16:22:06 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 11 for layer model.layers.0
2026-03-17 16:22:10 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 12 for layer model.layers.0
2026-03-17 16:22:14 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 13 for layer model.layers.0
2026-03-17 16:22:18 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 14 for layer model.layers.0
2026-03-17 16:22:22 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 15 for layer model.layers.0
2026-03-17 16:22:26 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 16 for layer model.layers.0
2026-03-17 16:22:30 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 17 for layer model.layers.0
2026-03-17 16:22:34 | INFO | run_llama32_1b_full_3p0bit_reftrue_rescaler_mixing_repaired_paperscale | Collected calibration batch 18 for layer model.layers.0
